Metric,Min,Mean,Median,Max,Std
Activities,8.0,9.904,10.0,10.0,0.3560674093482862
Attributes,5.0,9.296,10.0,11.0,1.3298060008888515
Binds,3.0,8.38,9.0,10.0,1.8578482176970217
Attributes per Bind,1.0,1.8625298329355608,2.0,5.0,0.6592136024782368
Constraints,7.0,9.948,10.0,11.0,0.3244934513977131
Unary Constraints,1.0,2.964,3.0,5.0,0.7554495350451941
Binary Constraints,4.0,6.984,7.0,9.0,0.7948232507922752
Integer Attributes,1.0,3.084,3.0,6.0,0.9617400896292096
Float Attributes,0.0,1.512,1.0,3.0,0.633921130741041
Enumeration Attributes,2.0,4.7,5.0,8.0,1.2206555615733703
Cardinality,1.0,1.8171206225680934,1.0,50.0,3.3478052914554177
Activation Conditions,0.0,0.196,0.0,3.0,0.5114528326248667
Correlation Conditions,0.0,0.016,0.0,1.0,0.125475097130865
Time Conditions,0.0,2.524,2.0,6.0,0.9640663877555321
Templates per Model,3.0,7.492,8.0,10.0,1.4730702630899857
