Template,Count,Percentage of Total Constraints,Models Using Template
Precedence,498,20.02412545235223,238
Response,378,15.199034981905909,219
Chain Response,314,12.625653397667874,194
Init,251,10.092480900683555,250
End,231,9.288299155609167,230
Chain Succession,212,8.5243264977885,162
Existence,148,5.950944913550463,141
Alternate Response,101,4.061117812625653,94
Absence,62,2.4929634097305993,62
Exactly,49,1.970245275432248,47
Succession,45,1.8094089264173705,41
Chain Precedence,37,1.4877362283876157,37
Responded Existence,29,1.166063530357861,28
Not Co-Existence,28,1.1258544431041415,28
Co-Existence,24,0.9650180940892641,23
Alternate Succession,22,0.8845999195818254,22
Alternate Precedence,17,0.6835544833132288,16
Choice,10,0.4020908725371934,10
Not Precedence,9,0.3618817852834741,9
Not Succession,8,0.32167269802975473,8
Not Responded Existence,6,0.24125452352231602,6
Exclusive Choice,4,0.16083634901487737,4
Not Chain Succession,2,0.08041817450743868,2
Not Response,1,0.04020908725371934,1
Not Chain Response,1,0.04020908725371934,1
