Metric,Min,Mean,Median,Max,Std
Activities,10.0,14.888,15.0,19.0,0.8071282425984113
Attributes,5.0,9.768,10.0,11.0,0.8210822126924927
Binds,3.0,10.18,9.5,16.0,3.2204968560767138
Attributes per Bind,1.0,1.7111984282907662,2.0,4.0,0.6606333939901139
Constraints,11.0,14.96,15.0,19.0,0.6118823416311341
Unary Constraints,2.0,4.06,4.0,7.0,1.0584894897919392
Binary Constraints,8.0,10.9,11.0,17.0,1.1670475568716128
Integer Attributes,1.0,3.204,3.0,7.0,0.8867829497684312
Float Attributes,0.0,1.616,2.0,4.0,0.7187099554062126
Enumeration Attributes,2.0,4.948,5.0,8.0,1.0359999999999998
Cardinality,1.0,4.042718446601942,1.0,1000.0,44.078153455283534
Activation Conditions,0.0,0.204,0.0,4.0,0.5535196473477703
Correlation Conditions,0.0,0.016,0.0,1.0,0.125475097130865
Time Conditions,0.0,3.104,3.0,6.0,0.945084123239831
Templates per Model,3.0,9.516,9.0,15.0,2.2489428627690833
